Transaction Date,Post Date,Description,Category,Type,Amount,Memo
06/30/2024,07/01/2024,DD DOORDASH CHAATBHAV,Food & Drink,Sale,-42.75,
06/29/2024,07/01/2024,BUTLER AMUSEMENTS INC,Entertainment,Sale,-20.00,
06/29/2024,07/01/2024,BUTLER-SKY RIDE 1,Food & Drink,Sale,-21.00,
06/30/2024,07/01/2024,COSTCO WHSE #1660,Shopping,Sale,-130.63,
06/29/2024,07/01/2024,BUTLER AMUSEMENTS INC,Entertainment,Sale,-8.00,
06/28/2024,06/30/2024,APNI MANDI FARMERS MAR,Groceries,Sale,-43.99,
06/29/2024,06/30/2024,SQ *COLD STONE CREAMERY,Food & Drink,Sale,-10.80,
06/29/2024,06/30/2024,NETFLIX.COM,Bills & Utilities,Sale,-15.49,
06/28/2024,06/30/2024,7-ELEVEN 24109,Gas,Sale,-14.85,
06/29/2024,06/30/2024,GOOGLE *Willow Watch L,Professional Services,Sale,-9.99,
06/27/2024,06/28/2024,VENDING MACHINE,Groceries,Sale,-8.50,
06/27/2024,06/28/2024,BA@ADOBENT 7,Food & Drink,Sale,-4.00,
06/28/2024,06/28/2024,ALAMEDA COUNTY WATER,Bills & Utilities,Sale,-173.09,
06/27/2024,06/28/2024,DD DOORDASH BHIMAVARA,Food & Drink,Sale,-28.01,
06/25/2024,06/27/2024,BA@ADBTEMPLATE,Food & Drink,Sale,-5.25,
06/24/2024,06/27/2024,THEPROPERTYRECORD.COM,Professional Services,Sale,-10.00,
06/24/2024,06/26/2024,FIRESTONE15458,Automotive,Sale,-436.42,
06/24/2024,06/24/2024,UBER   TRIP,Travel,Sale,-11.87,
06/23/2024,06/24/2024,WHOLEFDS FRE #10467,Groceries,Sale,-14.19,
06/24/2024,06/24/2024,AMAUSAAN UJI MATCHA(NE,Food & Drink,Sale,-12.47,
06/22/2024,06/23/2024,SCRIBD 626042520,Entertainment,Sale,-11.99,
06/22/2024,06/23/2024,COSTCO GAS #0423,Gas,Sale,-51.67,
06/21/2024,06/21/2024,AUTOMATIC PAYMENT - THANK,,Payment,1930.31,
06/20/2024,06/21/2024,COSTCO WHSE #1660,Shopping,Sale,-86.58,
06/20/2024,06/21/2024,AMAZON MKTPL*N78NK4HQ3,Shopping,Sale,-53.53,
06/20/2024,06/21/2024,ID COMPANY,Food & Drink,Sale,-14.40,
06/19/2024,06/21/2024,SIMPLY THAI,Food & Drink,Sale,-56.97,
06/19/2024,06/20/2024,SYNERGY BADMINTON ACADEM,Health & Wellness,Sale,-67.50,
06/19/2024,06/20/2024,DD DOORDASH BHIMAVARA,Food & Drink,Sale,-17.60,
06/18/2024,06/19/2024,CVS/PHARMACY #09600,Health & Wellness,Sale,-32.46,
06/16/2024,06/17/2024,LORI'S HAIR AND NAILS,Personal,Sale,-18.00,
06/15/2024,06/16/2024,DD DOORDASH CHAATBHAV,Food & Drink,Sale,-49.51,
06/14/2024,06/14/2024,LinkedIn Pre 9658365326,Bills & Utilities,Sale,-39.99,
06/13/2024,06/14/2024,COSTCO WHSE #1660,Shopping,Sale,-345.93,
06/13/2024,06/14/2024,COSTCO WHSE #1660,Shopping,Return,13.28,
06/12/2024,06/13/2024,DD DOORDASH BIRYANIBI,Food & Drink,Sale,-37.78,
06/12/2024,06/13/2024,GOOGLE *Disney Mobile,Shopping,Sale,-10.99,
06/11/2024,06/12/2024,COSTCO GAS #0778,Gas,Sale,-31.95,
06/09/2024,06/10/2024,SQ *CAKES &amp; BAKES,Food & Drink,Sale,-32.33,
06/08/2024,06/10/2024,TST* CHAIWALA SHOP,Food & Drink,Sale,-27.56,
06/07/2024,06/09/2024,76 - ASHOKA WARM SPRIN,Gas,Sale,-56.71,
06/07/2024,06/09/2024,DD DOORDASH BHIMAVARA,Food & Drink,Sale,-27.92,
06/07/2024,06/09/2024,COSTCO WHSE #1061,Shopping,Sale,-97.65,
06/07/2024,06/09/2024,DD DOORDASH BHIMAVARA,Food & Drink,Sale,-31.43,
06/03/2024,06/05/2024,SHELL OIL 57444675607,Gas,Sale,-25.72,
06/03/2024,06/04/2024,CHIPOTLE 1031,Food & Drink,Sale,-36.84,
06/02/2024,06/03/2024,ICP*Calphin Aquatic Club,Education,Sale,-81.00,
05/31/2024,06/02/2024,APNI MANDI FARMERS MAR,Groceries,Sale,-57.20,
06/01/2024,06/02/2024,DD DOORDASH BIRYANIBI,Food & Drink,Sale,-32.25,
05/30/2024,06/02/2024,85C BAKERY CAFE USA,Food & Drink,Sale,-20.25,
05/29/2024,05/30/2024,Netflix.com,Bills & Utilities,Sale,-15.49,
05/28/2024,05/29/2024,CVS/PHARMACY #09494,Health & Wellness,Sale,-11.40,
05/25/2024,05/29/2024,THEPROPERTYRECORD.COM,Professional Services,Sale,-1.00,
05/27/2024,05/29/2024,TST* KOVAICAFE EXPRESS,Food & Drink,Sale,-61.54,
05/27/2024,05/28/2024,Audible*GP3IV5EP3,Bills & Utilities,Sale,-9.84,
05/26/2024,05/28/2024,THE HOME DEPOT 6964,Home,Sale,-18.02,
05/24/2024,05/26/2024,COCONUT HILL,Groceries,Sale,-107.26,
05/23/2024,05/26/2024,APNI MANDI FARMERS MAR,Groceries,Sale,-19.78,
05/24/2024,05/26/2024,SQ *MOMO COOK,Food & Drink,Sale,-15.42,
05/25/2024,05/26/2024,BEAUTY BY RAJ,Personal,Sale,-90.00,
05/23/2024,05/24/2024,PTI*WINCHESTERHOUSE,Entertainment,Sale,-46.32,
05/22/2024,05/24/2024,TST* MYLAPORE - FREMONT,Food & Drink,Sale,-29.78,
05/23/2024,05/24/2024,BA MOBILE@ADOBE CAFE,Food & Drink,Sale,-6.50,
